Order ID;Order Date;Order Priority;Order Quantity;Sales;Ship Mode;Shipping Cost;Province;Customer Segment;Product Category;Product Sub-Category;Product Container;Ship Date;
23429;18.03.2016;Critical;28;165,43;Regular Air;6;Ontario;Corporate;Office Supplies;Binders and Binder Accessories;Small Box;18.03.2016;
386;23.01.2018;High;4;16,0072;Regular Air;0,5;Ontario;Corporate;Office Supplies;Labels;Small Box;25.01.2018;
50754;08.12.2016;Not Specified;9;68,51;Regular Air;5,4;Northwest Territories;Consumer;Technology;Telephones and Communication;Medium Box;09.12.2016;
42279;29.06.2016;Not Specified;44;1531,17;Express Air;7;Ontario;Home Office;Technology;Computer Peripherals;Small Box;30.06.2016;
53635;18.07.2019;Not Specified;33;111,1944;Regular Air;2,1;British Columbia;Small Business;Office Supplies;Scissors, Rulers and Trimmers;Wrap Bag;20.07.2019;
59270;10.01.2017;High;5;692,58;Delivery Truck;75,1;Quebec;Small Business;Furniture;Chairs & Chairmats;Jumbo Drum;10.01.2017;
26370;07.08.2018;Not Specified;20;706,49;Express Air;5,9;Northwest Territories;Home Office;Office Supplies;Storage & Organization;Small Box;09.08.2018;
43781;01.02.2017;Not Specified;45;531,94;Regular Air;1,5;Northwest Territories;Small Business;Office Supplies;Envelopes;Small Box;01.02.2017;
51233;08.12.2016;Low;3;28,36;Regular Air;4,3;Nova Scotia;Corporate;Furniture;Office Furnishings;Wrap Bag;08.12.2016;
48839;09.07.2017;Critical;1;103,93;Regular Air;0,5;Northwest Territories;Corporate;Office Supplies;Labels;Small Box;11.07.2017;
4672;05.11.2018;Critical;20;163,11;Regular Air;3,9;Alberta;Corporate;Furniture;Office Furnishings;Wrap Bag;06.11.2018;
49088;22.09.2016;Critical;16;139,2177;Regular Air;3;Nova Scotia;Consumer;Technology;Computer Peripherals;Small Pack;23.09.2016;
18822;20.12.2017;Low;34;2086,54;Regular Air;9,6;Saskachewan;Small Business;Technology;Telephones and Communication;Small Box;29.12.2017;
47078;18.04.2017;Medium;18;90,67;Regular Air;0,5;New Brunswick;Consumer;Office Supplies;Labels;Small Box;18.04.2017;
11680;03.09.2016;Medium;50;7823,87;Regular Air;9,6;Yukon;Corporate;Technology;Telephones and Communication;Small Box;05.09.2016;
36999;11.12.2016;Medium;28;15489,04;Delivery Truck;52,4;Ontario;Corporate;Technology;Copiers and Fax;Jumbo Drum;12.12.2016;
6791;31.01.2018;Medium;14;781,45;Express Air;10,9;Alberta;Small Business;Technology;Office Machines;Medium Box;02.02.2018;
12804;25.05.2019;Medium;34;634,42;Express Air;8,9;Saskachewan;Home Office;Office Supplies;Storage & Organization;Small Box;27.05.2019;
50656;24.10.2016;Critical;39;519,99;Regular Air;5,5;British Columbia;Consumer;Furniture;Office Furnishings;Small Box;24.10.2016;
59973;14.11.2018;Low;29;11812,53;Delivery Truck;15,7;Saskachewan;Small Business;Technology;Office Machines;Jumbo Drum;14.11.2018;
56006;30.09.2018;Critical;20;1529,12;Regular Air;1,3;British Columbia;Small Business;Technology;Telephones and Communication;Small Pack;02.10.2018;
1444;04.12.2016;Medium;13;16930,8989;Delivery Truck;15,7;Ontario;Home Office;Technology;Office Machines;Jumbo Drum;07.12.2016;
1856;19.03.2019;Not Specified;44;4583,06;Regular Air;9,4;British Columbia;Home Office;Technology;Telephones and Communication;Small Box;20.03.2019;
18816;24.02.2016;Critical;12;621,09;Express Air;4,3;Quebec;Corporate;Office Supplies;Appliances;Small Box;26.02.2016;
12867;10.03.2018;Not Specified;6;136,41;Express Air;4,3;Manitoba;Corporate;Technology;Computer Peripherals;Small Box;10.03.2018;
33670;27.04.2019;High;50;222,0678;Regular Air;1,3;Manitoba;Home Office;Office Supplies;Pens & Art Supplies;Wrap Bag;29.04.2019;
37537;02.01.2016;Low;4;1325,79;Delivery Truck;52,2;British Columbia;Corporate;Furniture;Chairs & Chairmats;Jumbo Drum;02.01.2016;
57125;02.06.2017;Medium;31;940,28;Regular Air;1,6;Alberta;Consumer;Office Supplies;Binders and Binder Accessories;Small Box;04.06.2017;
24801;15.11.2019;High;3;20,23;Regular Air;7,5;Alberta;Home Office;Office Supplies;Binders and Binder Accessories;Small Box;16.11.2019;
15654;01.10.2016;Not Specified;4;10054,16;Delivery Truck;31,8;Yukon;Corporate;Technology;Office Machines;Jumbo Drum;03.10.2016;
18374;30.09.2019;Low;21;160,67;Regular Air;5,9;Saskachewan;Corporate;Office Supplies;Paper;Small Box;02.10.2019;
20384;24.10.2018;Low;30;424,36;Regular Air;10;Quebec;Corporate;Office Supplies;Storage & Organization;Small Box;31.10.2018;
43493;10.05.2019;High;22;163,2;Regular Air;6,4;Saskachewan;Corporate;Office Supplies;Paper;Small Box;11.05.2019;
56064;28.10.2016;Medium;41;1251,11;Regular Air;1,6;Saskachewan;Home Office;Office Supplies;Binders and Binder Accessories;Small Box;28.10.2016;
10948;13.08.2019;Medium;50;206,63;Regular Air;7,5;Yukon;Corporate;Office Supplies;Binders and Binder Accessories;Small Box;13.08.2019;
261;27.06.2017;Medium;47;6075,04;Regular Air;4,5;British Columbia;Small Business;Technology;Telephones and Communication;Small Box;28.06.2017;
56039;24.11.2018;Low;23;167,6262;Regular Air;5,6;Ontario;Small Business;Office Supplies;Paper;Small Box;29.11.2018;
49153;28.07.2019;Medium;31;2402,98;Delivery Truck;32,1;British Columbia;Small Business;Furniture;Chairs & Chairmats;Jumbo Drum;28.07.2019;
49346;04.05.2018;Not Specified;8;100,95;Regular Air;3;Saskachewan;Corporate;Furniture;Office Furnishings;Small Pack;07.05.2018;
50147;07.10.2016;Medium;42;1609,2907;Regular Air;15,8;Saskachewan;Home Office;Office Supplies;Envelopes;Small Box;08.10.2016;
56161;14.04.2019;High;38;1609,52;Express Air;11;Manitoba;Home Office;Technology;Computer Peripherals;Small Box;16.04.2019;
24486;21.04.2018;Medium;14;28,95;Regular Air;0,7;Ontario;Consumer;Office Supplies;Pens & Art Supplies;Wrap Bag;22.04.2018;
40454;20.04.2018;Not Specified;43;1330,95;Regular Air;9,6;Quebec;Corporate;Office Supplies;Pens & Art Supplies;Small Pack;23.04.2018;
38599;25.10.2016;High;27;2836,82;Regular Air;37,5;Nova Scotia;Consumer;Office Supplies;Storage & Organization;Large Box;26.10.2016;
23169;22.06.2018;Critical;27;184,79;Regular Air;5,5;Ontario;Home Office;Office Supplies;Paper;Small Box;24.06.2018;
34082;27.10.2018;Not Specified;20;41,26;Regular Air;1,6;Ontario;Corporate;Office Supplies;Binders and Binder Accessories;Small Box;28.10.2018;
31106;15.02.2019;Low;45;277,31;Regular Air;3,9;Saskachewan;Corporate;Office Supplies;Scissors, Rulers and Trimmers;Small Pack;17.02.2019;
45958;24.05.2018;Medium;16;123,41;Regular Air;3,3;Yukon;Small Business;Office Supplies;Paper;Wrap Bag;26.05.2018;
8390;21.04.2019;Medium;24;765,48;Regular Air;4,3;British Columbia;Home Office;Technology;Computer Peripherals;Small Box;21.04.2019;
31042;19.11.2019;Medium;26;3453,3;Delivery Truck;32,1;Manitoba;Consumer;Furniture;Chairs & Chairmats;Jumbo Drum;20.11.2019;
19204;17.09.2016;Medium;27;250,29;Regular Air;9,1;Ontario;Corporate;Furniture;Office Furnishings;Small Pack;18.09.2016;
55623;05.10.2019;Critical;47;11073,14;Delivery Truck;34,8;Manitoba;Corporate;Furniture;Tables;Jumbo Box;06.10.2019;
46468;10.01.2018;Critical;1;12,7;Regular Air;5,8;Ontario;Home Office;Office Supplies;Paper;Small Box;12.01.2018;
23172;24.04.2019;Low;13;1275,15;Regular Air;15;Alberta;Home Office;Technology;Office Machines;Medium Box;29.04.2019;
12934;04.03.2016;Not Specified;45;471,2173;Regular Air;1,5;Prince Edward Island;Corporate;Office Supplies;Envelopes;Small Box;05.03.2016;
12263;05.07.2018;High;12;551,75;Regular Air;4,3;Ontario;Corporate;Office Supplies;Appliances;Small Box;05.07.2018;
43045;14.06.2019;Medium;47;5672,28;Regular Air;10,8;Saskachewan;Corporate;Furniture;Office Furnishings;Large Box;16.06.2019;
10692;25.07.2016;Low;26;107,44;Regular Air;4,5;British Columbia;Corporate;Office Supplies;Pens & Art Supplies;Small Pack;27.07.2016;
3553;16.05.2016;Medium;7;21,94;Regular Air;1;Manitoba;Corporate;Office Supplies;Pens & Art Supplies;Wrap Bag;17.05.2016;
6850;10.02.2017;High;26;4016,48;Delivery Truck;56,1;Alberta;Corporate;Furniture;Tables;Jumbo Box;11.02.2017;
10502;13.05.2017;Not Specified;36;976,31;Regular Air;9,6;New Brunswick;Consumer;Furniture;Office Furnishings;Small Pack;15.05.2017;
28357;20.05.2017;Not Specified;43;121,37;Regular Air;1,1;Alberta;Home Office;Office Supplies;Rubber Bands;Wrap Bag;21.05.2017;
17701;21.05.2019;Critical;21;86,08;Regular Air;5;Yukon;Home Office;Office Supplies;Binders and Binder Accessories;Small Box;22.05.2019;
10884;24.11.2016;Low;24;2702,81;Regular Air;9,6;Yukon;Consumer;Technology;Telephones and Communication;Small Box;01.12.2016;
44199;04.03.2019;Low;12;54,24;Regular Air;2,1;British Columbia;Home Office;Office Supplies;Rubber Bands;Wrap Bag;08.03.2019;
44613;29.08.2017;High;45;262,74;Regular Air;8,7;Saskachewan;Small Business;Office Supplies;Paper;Small Box;30.08.2017;
