Order ID,Order Date,Order Priority,Order Quantity,Sales,Ship Mode,Shipping Cost,Province,Customer Segment,Product Category,Product Sub-Category,Product Container,Ship Date,Delivery Time
23429.0,2016-03-18,Critical,28.0,165.43,Regular Air,6.0,Ontario,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,2016-03-18,0
386.0,2018-01-23,High,4.0,16.0072,Regular Air,0.5,Ontario,Corporate,Office Supplies,Labels,Small Box,2018-01-25,2
50754.0,2016-12-08,Not Specified,9.0,68.51,Regular Air,5.4,Northwest Territories,Consumer,Technology,Telephones and Communication,Medium Box,2016-12-09,1
42279.0,2016-06-29,Not Specified,44.0,1531.17,Express Air,7.0,Ontario,Home Office,Technology,Computer Peripherals,Small Box,2016-06-30,1
53635.0,2019-07-18,Not Specified,33.0,111.1944,Regular Air,2.1,British Columbia,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Wrap Bag,2019-07-20,2
59270.0,2017-01-10,High,5.0,692.58,Delivery Truck,75.1,Quebec,Small Business,Furniture,Chairs & Chairmats,Jumbo Drum,2017-01-10,0
26370.0,2018-08-07,Not Specified,20.0,706.49,Express Air,5.9,Northwest Territories,Home Office,Office Supplies,Storage & Organization,Small Box,2018-08-09,2
43781.0,2017-02-01,Not Specified,45.0,531.94,Regular Air,1.5,Northwest Territories,Small Business,Office Supplies,Envelopes,Small Box,2017-02-01,0
51233.0,2016-12-08,Low,3.0,28.36,Regular Air,4.3,Nova Scotia,Corporate,Furniture,Office Furnishings,Wrap Bag,2016-12-08,0
48839.0,2017-07-09,Critical,1.0,103.93,Regular Air,0.5,Northwest Territories,Corporate,Office Supplies,Labels,Small Box,2017-07-11,2
4672.0,2018-11-05,Critical,20.0,163.11,Regular Air,3.9,Alberta,Corporate,Furniture,Office Furnishings,Wrap Bag,2018-11-06,1
49088.0,2016-09-22,Critical,16.0,139.2177,Regular Air,3.0,Nova Scotia,Consumer,Technology,Computer Peripherals,Small Pack,2016-09-23,1
18822.0,2017-12-20,Low,34.0,2086.54,Regular Air,9.6,Saskachewan,Small Business,Technology,Telephones and Communication,Small Box,2017-12-29,9
47078.0,2017-04-18,Medium,18.0,90.67,Regular Air,0.5,New Brunswick,Consumer,Office Supplies,Labels,Small Box,2017-04-18,0
11680.0,2016-09-03,Medium,50.0,7823.87,Regular Air,9.6,Yukon,Corporate,Technology,Telephones and Communication,Small Box,2016-09-05,2
36999.0,2016-12-11,Medium,28.0,15489.04,Delivery Truck,52.4,Ontario,Corporate,Technology,Copiers and Fax,Jumbo Drum,2016-12-12,1
